날짜,거래처,품목,수량,단가,공급가액,부가세,참조
2019-06-01,,TWO COMP 472 줄자 @ 8M*25MM,39,0,0,0,????
2019-06-01,,TWO COMP 472 줄자 @ 10M*30MM,0,0,0,0,????
2019-06-01,,스탠다드 411 줄자 @ 3M*13MM,0,0,0,0,????
2019-06-01,,스탠다드 411 줄자 @ 5M*16MM,0,0,0,0,????
2019-06-01,,스탠레스 줄자 @ 3M*13MM,0,0,0,0,????
2019-06-01,,스탠레스 줄자 @ 5M*16MM,0,0,0,0,????
2019-06-01,,"베스트 절단석 @ 4""",0,0,0,0,????
2019-06-01,,"베스트 절단석 @ 5""",0,0,0,0,????
2019-06-01,,"베스트 절단석 @ 14""",0,0,0,0,????
2019-06-01,,"레즈본 절단석 @ 4""",0,0,0,0,????
2019-06-01,,"레즈본 절단석 @ 5""",0,0,0,0,????
2019-06-01,,"레즈본2 절단석 @ 4""",0,0,0,0,????
2019-06-01,,"레즈본2 절단석 @ 5""",0,0,0,0,????
2019-06-01,,"레즈본 절단석 R&B 블랙 @ 4""",0,0,0,0,????
2019-06-01,,"레즈본 절단석 R&B 블랙 @ 5""",0,0,0,0,????
2019-06-01,,"레즈본 절단석 @ 7""",0,0,0,0,????
2019-06-01,,"레즈본 절단석 @ 14""",0,0,0,0,????
2019-06-01,,"레즈본 절단석 @ 16""",0,0,0,0,????
2019-06-01,,"레즈본 연마석 #60 @ 4""*3T",0,0,0,0,????
2019-06-01,,"레즈본 연마석 #80 @ 4""*3T",0,0,0,0,????
2019-06-01,,"레즈본 연마석 @ 4""*6T",0,0,0,0,????
2019-06-01,,"레즈본 연마석 @ 7""*8T",0,0,0,0,????
2019-06-01,,"레즈본 연마석 청평 #40 @ 4""",0,0,0,0,????
2019-06-01,,"레즈본 연마석 청평 #60 @ 4""",0,0,0,0,????
2019-06-01,,"레즈본 연마석 청평 #80 @ 4""",0,0,0,0,????
2019-06-01,,"레즈본 연마석 청평 #120 @ 4""",0,0,0,0,????
2019-06-01,,"레즈본 연마석 청평 #40 @ 4.5""",0,0,0,0,????
2019-06-01,,"레즈본 연마석 청평 #60 @ 4.5""",0,0,0,0,????
2019-06-01,,"레즈본 연마석 청평 #80 @ 4.5""",0,0,0,0,????
2019-06-01,,"레즈본 연마석 청평 #120 @ 4.5""",0,0,0,0,????
2019-06-01,,레즈본 용접면,0,0,0,0,????
2019-06-01,,레즈본 줄자 @ 5.5M*19MM,0,0,0,0,????
2019-06-01,,레즈본 줄자 @ 5.5M*25MM,0,0,0,0,????
2019-06-01,,레즈본 줄자 @ 7.5M*25MM,0,0,0,0,????
2019-06-01,,"아카시 절단석 프리미엄 @ 4""*16MM",0,0,0,0,????
2019-06-01,,"아카시 절단석 프리미엄 @ 5""*16MM",0,0,0,0,????
2019-06-01,,"아카시 절단석 칸 @ 4""*16MM",0,0,0,0,????
2019-06-01,,"아카시 절단석 칸 @ 5""*16MM",0,0,0,0,????
2019-06-01,,"렉스톨킹 절단석 @ 4""*16MM",0,0,0,0,????
2019-06-01,,"렉스톨킹 절단석 @ 5""*16MM",0,0,0,0,????
2019-06-01,,"3D골드 절단석 @ 4""*16MM",0,0,0,0,????
2019-06-01,,"3D골드 절단석 @ 5""*16MM",0,0,0,0,????
2019-06-01,,"MD 절단석 @ 4""*16MM",0,0,0,0,????
2019-06-01,,"MD 절단석 @ 5""*16MM",0,0,0,0,????
2019-06-01,,"3D 절단석 @ 4""*16MM",0,0,0,0,????
2019-06-01,,"3D 절단석 @ 5""*16MM",0,0,0,0,????
2019-06-01,,"MFC 절단석 @ 4""*16MM",0,0,0,0,????
2019-06-01,,"대광 절단석 @ 14""",0,0,0,0,????
2019-06-01,,"씽씽 절단석 @ 4""",0,0,0,0,????
2019-06-01,,레벨기 ADL-8102 @ 4V4H(전자식),0,0,0,0,????
2019-06-01,,레벨기 ADL-440 @ 4V4H(전자식),0,0,0,0,????
2019-06-01,,아카시 줄자 @ 5.5M*25MM,0,0,0,0,????
2019-06-01,,아카시 줄자 @ 7.5M*25MM,0,0,0,0,????
2019-06-01,,"초경 판넬용 @ 7""*25*30*2.2",0,0,0,0,????
2019-06-01,,장갑 렉스톨 @ L,0,0,0,0,????
2019-06-01,,장갑 렉스톨 @ M,0,0,0,0,????
2019-06-01,,마스크 카누토 @ 밸브유,0,0,0,0,????
2019-06-01,,마스크 카누토 @ 밸브무,0,0,0,0,????
2019-06-01,,"절단석 L 3D골드 @ 4""*16MM",0,0,0,0,????
