업체명,지역,업종,전화번호,주소,담당자,메모,영업단계,등록일
강촌종합철물건재,강원특별자치도 춘천시,건자재점,,강원특별자치도 춘천시 남산면 소주고개로 681,,G21001 / 남산면,미방문,
남진철물,강원특별자치도 동해시,철물점,,강원특별자치도 동해시 발한로 263-1,,G21001 / 망상동,미방문,
한빛철물마트,강원특별자치도 속초시,철물점,,강원특별자치도 속초시 동해대로 4341-1,,G21001 / 노학동,미방문,
대영종합철물，건재,강원특별자치도 정선군,건자재점,,강원특별자치도 정선군 임계면 백두대간로 1403,,G21001 / 임계면,미방문,
일삼공철물，만물,강원특별자치도 춘천시,철물점,,강원특별자치도 춘천시 후석로 53,,G21001 / 석사동,미방문,
강원철물,강원특별자치도 홍천군,철물점,,강원특별자치도 홍천군 홍천읍 공작산로 48-1,,G21001 / 홍천읍,미방문,
일광공구철물,강원특별자치도 강릉시,철물점,,강원특별자치도 강릉시 성덕포남로 170-1,,G21001 / 포남1동,미방문,
강원농자재,강원특별자치도 횡성군,농자재점,,강원특별자치도 횡성군 안흥면 강변로 29,,G22199 / 안흥면,미방문,
홍천대한건재,강원특별자치도 홍천군,건자재점,,강원특별자치도 홍천군 북방면 송학정로 155,,G21003 / 북방면,미방문,
신일철물.만물,강원특별자치도 춘천시,철물점,,강원특별자치도 춘천시 행촌로 51-1,,G21001 / 퇴계동,미방문,
